number_of_edges,state_space_size,exact_microseconds,overapproximated_microseconds
3,4,20.910601569438562,17.407666313370992
520,202,4329.445142670067,391.8965529108723
1333,459,10791.49804659171,578.7076300573756
1868,884,40769.69814414021,2600.790974854497
2872,1440,70791.68393301585,2593.283865267857
8893,2465,96756.25684992062,1529.4559337308312
11154,4027,222681.26009999998,4741.53695899008
31412,7269,586363.1444,1950.1526016675116
43773,12127,1088353.3838,6156.967361417988
100438,24973,1817342.445,2842.3830247929063
246522,48720,4021075.5775,2845.4230784771826
744785,128347,20495809.771,7529.902729700854
