number_of_edges,state_space_size,exact_efrac,overapproximated_efrac
3,4,0.8333333333333334,0.8333333333333334
520,202,0.18571428571428572,0.30952380952380953
1333,459,0.16,0.3090909090909091
1868,884,0.20797720797720798,0.22863247863247863
2872,1440,0.18023255813953487,0.18023255813953487
8893,2465,0.19264705882352942,0.36617647058823527
11154,4027,0.18383838383838383,0.26717171717171717
31412,7269,0.19973544973544974,0.28835978835978837
43773,12127,0.25,0.3362244897959184
100438,24973,0.13943355119825707,0.31699346405228757
246522,48720,0.1304713804713805,0.26430976430976433
744785,128347,0.22680890538033396,0.33812615955473097
